publisher_id,publisher_name
1075,ATC Games
1076,ATD
1077,ATD Game Studio
1078,ATEG
1079,ATEMIX
1080,ATK Games
1081,ATMCLOUD Games
1082,ATMODEPTH
1083,ATOMAXR PTE LTD
1084,ATOMIC AGE CULTURE
1085,ATOMIC BREATH
1086,ATR
1087,ATRIC Games
1088,ATSDev
1089,ATTACK MOUNTAIN
1090,ATTeND
1091,ATU Games
1092,ATi Studios A.P.P.S. SRL
1093,AU Studio
1094,AURORA Games
1095,AURORA STUDIO
1096,AUSSIE BATTLER GAMES
1097,AUTOSAVE
1098,AUX-IN Games
1099,AV Games
1100,AV media lab
1101,AV1 Productions
1102,AVAI Interactive
1103,AVAKE
1104,AVB VR Games
1105,AVE
1106,AVE Team
1107,AVIAR B.V.
1108,AVOlight
1109,AVRLON VR Studio
1110,AVROD Technologies Inc.
1111,AWN Games
1112,AWS
1113,AX Studio
1114,AXEL GAMES
1115,AXR-STUDIOS
1116,AXR-Studios
1117,"AXTORM Co., Ltd."
1118,AXing
1119,AZAMATIKA
1120,AZCREO
1121,AZDogCats
1122,AZGames
1123,AZOTh the Creator
1124,AZR Games
1125,Aako Inc
1126,Aardvark Studios
1127,Aardvark Team
1128,"Aargle, LLC"
1129,Aarjvark
1130,Aaron Angert
1131,Aaron CB
1132,Aaron Cochrane
1133,Aaron D.
1134,Aaron Dodo
1135,Aaron Fry
1136,Aaron Gilbert
1137,Aaron Hamilton
1138,Aaron Kunkle
1139,Aaron Leal
1140,Aaron Matthies
1141,Aaron Mault
1142,Aaron McDevitt
1143,Aaron Moon
1144,Aaron Steed
1145,AaronBacon
1146,Aaronixio
1147,Aarre Entertainment
1148,Aartform
1149,Aartform Games
1150,Aastral Dynamics
1151,Aasura Project
1152,Aatlantis Code
1153,Aava Fertsman
1154,Abandoned House Studios
1155,Abba Games
1156,Abbey Games
1157,Abbeytek Ltd
1158,Abdalrahman
1159,Abdelrahman Tarek
1160,Abdualziz alotaibi
1161,Abducted Monkeys
1162,Abdulla Al Hamad (DRTH)
1163,Abdulla Hassan Al-Farsi
1164,Abdullah Firat
1165,Abdulrahman Alshahrani
1166,Abel Martín
1167,Abelana VR
1168,Abenteuerpakete
1169,Aberplex
1170,Aberrant Realities
1171,Abhi Sundu
1172,AbhiTechGames
1173,Abhinav Arora
1174,Abiding Bridge
1175,Abii Studio Ltd.
1176,Ablootion Games
1177,Abn Studio Inc.
1178,Abnormal Corp
1179,Abnormal Software
1180,Abolish
1181,Abomination Games
1182,Abond
1183,About Airplane LLC
1184,Above Average Catfish
1185,Above and Beyond Technologies
1186,AboveTuna
1187,Abra
1188,Abra24
1189,AbraTabia Inc
1190,Abracadabra Studios
1191,Abraham Eduardo Zarate Mejia
1192,Abrakajumpa
1193,Abramelin Games
1194,Abrams Studios
1195,Abrams Studios LLC
1196,Abraxas Interactive
1197,AbsLab
1198,AbsQual Studio
1199,Absam Studios
1200,Abscure Games
1201,Absent-Minded Games
1202,AbsintheandMustard
1203,Absolute Jet
1204,AbsoluteZero LLC
1205,AbsoluteZeroPoint
1206,Absolutely Cookage
1207,Absolutist Ltd.
1208,Absorb Reality
1209,Absorbed Studios
1210,Absortalent Games
1211,AbstrCAT
1212,Abstract Digital
1213,Abstract Dream Games
1214,Abstract Games Studio
1215,Abstract Software Inc.
1216,Abstract Void Interactive
1217,AbstractArt
1218,AbstractGameStudio
1219,AbstractGaming
1220,Abstraction Games
1221,Abstractron
1222,Absurd Walls
1223,AbsurdPoncho
1224,Abualamrienstudio
1225,Abudory
1226,Abula Studio
1227,Abyid Studio
1228,Abylight Studios
1229,Abyscon
1230,Abysmal Fury Games Inc.
1231,Abyss
