appid,publisher_id
704270,3474
107100,38530
1295660,267
335240,3305
2218750,7228
1977530,11345
310950,6313
2231380,41792
237930,38530
368500,41792
288160,13595
1144400,16862
1144400,27432
1190000,31107
488790,41792
1859910,30049
1859910,28757
459820,34744
2208920,41792
493490,14065
2161700,34385
204300,3300
1392820,26092
1371980,26396
640820,21619
2124490,20894
744900,8474
434570,16585
1284410,6353
1520470,49844
1966900,12389
1966900,46249
337320,37042
485510,20886
975370,21527
1359090,3379
1359090,23945
740130,4087
322500,34678
653530,347
668630,34805
420290,24997
1527950,35800
1782380,14589
1782380,26137
1850570,505
767560,24256
302830,28417
805550,505
2212330,19461
47810,11960
1948280,36810
