appid,developer_id
351640,42358
1029550,19751
1782120,7678
344760,9626
1301720,6007
2181930,1712
361280,18617
1556790,6183
1147690,503
1850740,40365
1361510,49977
1465460,25267
1139980,23292
389570,17312
256290,50632
2437170,49364
882790,59490
2027330,16364
743450,5313
1382330,1159
2519060,44211
2519060,49941
2519060,22850
2519060,5352
2519060,39725
2519060,21318
2519060,12451
2167580,9803
2537590,3964
1574580,4861
209170,22850
209160,22850
418030,9723
287980,13005
1201240,25453
232890,16604
712100,7896
712100,16402
712100,16401
437920,52730
732690,45639
990630,21066
1238820,11169
2232840,15503
21120,32220
21120,49232
2646460,8114
393080,39725
393080,5352
2103140,59315
314650,10189
1049800,34704
456750,16638
2780980,31872
1481400,5973
1563180,8847
462780,25328
462780,51721
1162520,44596
589780,12263
244160,18751
244160,3973
878750,19162
2666510,31963
1629520,30772
286940,13549
317360,13379
317360,24817
350640,17481
1056960,29597
1056960,3659
936790,12252
278080,25466
65800,9191
2909400,45310
424030,8116
233290,1842
1063660,24504
473690,44287
773951,25436
1548850,21342
212480,46485
394310,27482
39120,55907
48240,6460
48240,40295
2651280,22977
2651280,34323
1353230,47905
792220,26603
1488200,11517
1559390,59490
362490,5051
65540,37454
1016800,48468
602520,33000
469600,4276
1061090,33851
1577120,46673
1566690,47901
333420,18082
2933620,49941
2933620,39725
2933620,5352
2933620,21318
2933620,1443
2933620,44211
2933620,22850
2933620,12451
2071280,36649
1126320,13467
203290,50490
386070,37752
1188930,1920
228200,40308
415200,37903
1277400,7693
224760,38128
1182620,17362
911400,50621
389430,34408
389430,31270
1611600,15484
420110,33000
2772750,58144
690640,17569
698670,14332
48720,47418
1475810,47495
290340,27538
835960,10585
223100,11447
826630,25417
778700,47672
1105670,23268
1333350,43286
1526490,42250
885970,10422
885970,16400
39510,37454
1229380,9076
1229380,24803
320240,9863
442080,52672
442080,51094
732430,19955
242720,30439
1164940,49921
2064650,21724
206500,8235
607080,13390
330840,48158
1377580,51094
495890,23459
847370,22977
847370,6351
700600,39934
382310,45954
209660,44211
209660,39725
209650,44211
209650,39725
606280,20131
506610,42660
232770,41467
2114740,48497
1424330,3058
2725260,1547
2725260,28287
529180,44433
1525700,50954
1338770,7803
294860,41715
204340,10585
1971650,45310
1971650,864
1605220,43482
1128920,39216
1283410,35170
400910,10390
400910,18802
1812450,13303
769560,19064
234670,10864
784080,37456
368360,40942
253250,39364
228300,11251
1190970,17548
1647160,10146
306020,34257
2488620,9617
410340,28709
315210,41037
909080,41499
1369320,11311
589870,27942
1522820,40940
673880,7474
1030210,14354
215080,3104
813630,46697
332570,16290
1170950,45452
329110,22846
593600,44433
799600,52470
950670,47134
688420,37786
688420,35840
2608050,49871
3107330,19374
268650,7212
225260,13390
1676840,23186
1276790,1840
206190,46742
2291760,16836
204880,23193
204880,45490
280160,28087
867210,27445
282900,22067
282900,7861
282900,15852
377840,45310
300380,40175
300380,37515
973580,7803
311730,47852
311730,25466
610370,31717
846770,99
666220,50931
681660,33017
914800,49482
1161770,12531
45760,8178
1328660,45687
1611910,9855
1238060,51931
631510,7693
1674170,20544
809960,6829
2634950,18861
428550,6707
1331550,21752
1377380,23683
555220,40111
3244220,10918
365300,43513
365300,48952
365300,51791
418340,41220
238430,32212
1128000,37302
528230,16889
409160,10605
1195460,50763
1115690,7035
714120,26186
1385380,13735
1671200,7854
861540,48278
